text,size,topic
#morettibugiarda,1,0
#mosche,1,0
#municipiox,1,0
#muoro,1,0
#napoli,3,0
#ncd,1,0
#ndc,1,0
#nencini,1,0
#neoborbonici,1,0
#news,10,0
#no,1,0
#noart5,10,0
#nondiregatto,1,0
#nonstiamosereni,1,0
#nonvivoteròmai,1,0
#nonvo,1,0
#nonvotom5s,10,0
#nopiano,3,0
#nopianocasa,10,0
#nopolitica,1,0
#notav,5,0
#notizie,2,0
#notizieonline,2,0
#occhioallanno,1,0
#occupazione,2,0
#offerte,5,0
#oie14,1,0
#olbia,4,0
#oltre,1,0
#oltrehi,1,0
#oltrehitler,5,0
#oltrepeppe,1,0
#omertoso,1,0
#opencamera,3,0
#ottoemezzo,2,0
#pa,1,0
#papa,1,0
#parlamento,1,0
#parola,1,0
#parolepesanti,1,0
#partiti,1,0
#patrimoniale,8,0
#pattostabilità,1,0
#pcl,1,0
#pd,57,0
#pdl,1,0
#pdpeggiodiforzaitalia,1,0
#pdpulito,1,0
#pdstaisereno,1,0
#pensioni,2,0
#pentastellati,1,0
#pepphitler,1,0
#perdiamonoi,1,0
#persona,1,0
#perugia,1,0
#piagasociale,1,0
#piazzabrà,1,0
#piazzapulita,6,0
#piazzapulita?,1,0
#picierno,3,0
#piddini,1,0
#piddioti,1,0
#piemonte,2,0
#pisapia,1,0
#piùattivi,4,0
#poletti,3,0
#politica,17,0
#politiche,1,0
#pomeriggio5,11,0
#pomeriggiocinque,5,0
#populismo?,2,0
#porcia,1,0
#porta,1,0
#portaaporta,19,0
#potenza,1,0
#potenziale,1,0
#poveraitalia,1,0
#prc,1,0
#precariato,1,0
#pregiudicato,1,0
#primalepersone,1,0
#principe,1,0
#prodi,2,0
#programmer,2,0
#pse,1,0
#quasisempre,1,0
#quintacolonna,2,0
#quota96scuola,34,0
#quota96scuola?,1,0
#ragusa,1,0
#rai,5,0
#raiuno,1,0
#rami,2,0
#razzi,1,0
#regionali,2,0
#relax,1,0
#renzi,105,0
#renzie,4,0
#renziegnoccofritto,21,0
#renziemente,1,0
#renziezeroleggi,2,0
#renzistaisereno,7,0
#repubblicadellebanane,1,0
#rete,1,0
#ribaltiamoilpd,1,0
#ricardokakã ,1,0
#ridicoli,1,0
#rieti,1,0
#riformapa,2,0
#rimbaud,1,0
#rinnovabili,1,0
#riso,1,0
#risorse,1,0
#ritmi,1,0
#ritratto,1,0
#roma,2,0
#romasicura,2,0
#rt,4,0
#rubik,1,0
#sa,2,0
#salastampa,1,0
#sallusti,1,0
#salsi,1,0
#salvini,500,0
#samuelesegoni,1,0
#sangiuseppevesuviano,1,0
#sanguineti,1,0
#sapevatelo,3,0
#sassari,1,0
#sbl,2,0
#sceltaeuropea,2,0
#schultz,2,0
#schulz,4,0
#schulz?,1,0
#science,1,0
#scritturebrevi,1,0
#scrivifitto,1,0
#scrivigardini,1,0
#scuola,2,0
#seliconoscilieviti,1,0
#senato,1,0
#senise,1,0
#seriea,2,0
#sessismo,1,0
#seves,3,0
#sfiga,1,0
#sgomberiamorenzi,1,0
#sicurezza,1,0
#sicurezzasullavoro,3,0
#sindrome,1,0
#sinistra,1,0
#smacchiamoilgiaguaro,1,0
#sogno,1,0
#soldiinnero,1,0
#speranza,2,0
#stage,1,0
#staisereno,4,0
#stalin,1,0
#stopomofobia,1,0
#storiaadcapocchiam,1,0
#stress,1,0
#t,3,0
#tafazzi,1,0
#tampaxpd,3,0
#tasi,9,0
#tassone,1,0
#taverna,1,0
#teatrostabile,1,0
#tecnico,1,0
#tg2000,1,0
#tifiamoasteroide,2,0
#torino,2,0
#tornasilvio,3,0
#toscana,3,0
#toti,1,0
#trendingtopic,3,0
#troika,1,0
#troll,1,0
#tsipras,3,0
#tuchiamalesevuoieuropee,1,0
#turismo,2,0
#tusk,1,0
#tuttiacasa,8,0
#tv,1,0
#twitt,6,0
#twitter,7,0
#uber,2,0
#ue,1,0
#ultimenotizie,1,0
#umiltà,1,0
#unique,1,0
#unomattina,4,0
#unovaleuno,5,0
#v,3,0
#valetutto,1,0
#vegognamai,2,0
#vergogna,2,0
#veritasulmatera,2,0
#verona,3,0
#vespa,26,0
#vespachiedi,1,0
#vin,1,0
#vinc,1,0
#vinci,3,0
#vinciam,3,0
#vinciamonoi,294,0
#vinciamonoi?,1,0
#vita,1,0
#viterbo,1,0
#votameloni,1,0
#votapicierno,1,0
#votatepervoi,1,0
#votofrancesco,1,0
#vsq14,1,0
#walterveltroni,1,0
#waytowork,2,0
#wineconcept,1,0
#wlaggente,1,0
#yen,1,0
#zanzare,1,0
#èilsudbellezza,1,0
%,1,0
&amp,7,0
&gt,8,0
**,1,0
*****massima,1,0
+++anticipazioni,1,0
+parlano,1,0
+si,1,0
-&gt,9,0
----&gt,1,0
-3,2,0
-5gg,1,0
-6,1,0
-d,1,0
-la,1,0
-little,1,0
-master,1,0
-ppppp,1,0
-silenti-,1,0
//urbanpost,1,0
/stato,2,0
0,6,0
00,5,0
000,3,0
000giovani,1,0
05,1,0
09,1,0
1,16,0
10,5,0
10%,1,0
10%-15%,1,0
10mila,2,0
11,9,0
12,2,0
12%,1,0
120,3,0
127,1,0
13,1,0
138,2,0
14,3,0
147/2013,1,0
15,8,0
15-18%,1,0
150,2,0
15enne,1,0
16,5,0
17,1,0
174,1,0
18,6,0
18-25,2,0
19,6,0
19/05/2014,3,0
1924,1,0
1932,1,0
1944,2,0
1983,2,0
1990,2,0
1a,1,0
1d,1,0
1giu,1,0
1spasso,1,0
1x,1,0
2,8,0
2%,2,0
20,13,0
20%,1,0
20/05/14,1,0
20/64anni,1,0
200,1,0
2002,3,0
2002 in,1,0
2009,1,0
2011,1,0
2012,3,0
2013,1,0
2013/2014,1,0
2014,44,0
2014/,1,0
2015,5,0
2020,1,0
21,9,0
21/05/2014,1,0
22,2,0
23,6,0
23/5,2,0
24,1,0
244,1,0
25,20,0
25%,1,0
25-28%,1,0
26,1,0
26%,1,0
27,1,0
2milioni,5,0
2°,1,0
2€,5,0
3,48,0
3%,2,0
30,38,0
30atti,15,0
31,2,0
32%,1,0
33,1,0
33%,1,0
34,1,0
3d,1,0
3d?,1,0
3odg,7,0
4,4,0
4%,2,0
40,1,0
4000,2,0
400ml,1,0
416,2,0
45,1,0
45503,1,0
464,1,0
47%,2,0
49,1,0
5,27,0
50,1,0
50%,1,0
500,1,0
500mila,1,0
507,1,0
50anni,1,0
512,3,0
52%,2,0
55,1,0
56,1,0
59,3,0
5mila,1,0
6,11,0
6%,1,0
60,5,0
6000,1,0
61,1,0
627,1,0
66,1,0
68,1,0
7,12,0
7%,2,0
71,1,0
75mila,1,0
78,1,0
7gold,1,0
8,1,0
8%,2,0
8-33%,1,0
8/12/2013,1,0
80,15,0
80€,2,0
830,2,0
8aprile,2,0
9,11,0
90,1,0
94,2,0
95%,1,0
96,5,0
99%,3,0
=,2,0
=&gt,1,0
?,27,0
??,2,0
??????,1,0
??perche,1,0
@,2,0
@#grillo,1,0
@1punto_di_vista,1,0
@21lettere,1,0
@512_idonei_pds,18,0
@5simo_simo3,3,0
@68kikka,1,0
@@dailyworditalia,2,0
@_cogico,3,0
@_dagospia_,2,0
@_demox,5,0
@acmilan,3,0
@adaptpeople,1,0
@adeccoitalia,1,0
@adelaideset,1,0
@adelphiedizioni,1,0
@adnkronos,2,0
@agenparl,1,0
@agenzia_ansa,1,0
@agenzia_dire,3,0
@aiuliano,2,0
@albertolosacco,1,0
@aldotorchiaro,2,0
@ale_dibattista,3,0
@ale_moretti,40,0
@ale_mussolini_,1,0
@alebon83,2,0
@alecnt88,1,0
@aledenicola,1,0
@alemannotw,3,0
@alessandr_russ,1,0
@alessiapisa1,1,0
@alessio_88,1,0
@alex5stelle,3,0
@alfabetogrillo,2,0
@alfanonews,1,0
@alfonsonuccite,1,0
