TimeWindows,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
2014-05-19 00:00:00/2014-05-20 00:00:00,19.187685627704322,5.38979933362481,10.316754360837642,19.089689276183872,46.016071401649356
2014-05-20 00:00:00/2014-05-21 00:00:00,18.248813094928785,8.02371448142287,18.068120084087205,33.9395800363748,21.71977230318634
2014-05-21 00:00:00/2014-05-22 00:00:00,22.763329877856403,9.043584080768017,14.580610267273629,38.572136836886465,15.040338937215486
2014-05-22 00:00:00/2014-05-23 00:00:00,NaN,NaN,NaN,NaN,NaN
2014-05-23 00:00:00/2014-05-24 00:00:00,24.35371296767816,8.429440134200041,15.80744690411287,36.828625348231135,14.58077464577779
2014-05-24 00:00:00/2014-05-25 00:00:00,23.131125956990296,9.28219632320671,14.929048617545229,40.86409518700931,11.793533915248451
2014-05-25 00:00:00/2014-05-26 00:00:00,26.12100888068424,8.293007963122767,11.042415371339311,41.72064622543611,12.822921559417567
2014-05-26 00:00:00/2014-05-27 00:00:00,18.01980066091035,7.196061187506662,14.246881995522864,43.7913068969193,16.745949259140815
2014-05-27 00:00:00/2014-05-28 00:00:00,15.262683878715102,8.880216151305914,15.04953467427199,49.219453617532274,11.588111678174723
2014-05-28 00:00:00/2014-05-29 00:00:00,15.177292652228637,8.345991927433705,17.08259190139317,41.55635606093486,17.837767458009637
2014-05-29 00:00:00/2014-05-30 00:00:00,15.323814380418154,8.900482485388146,15.537598556466483,45.38893029459067,14.849174283136549
2014-05-30 00:00:00/2014-05-31 00:00:00,13.359124207753725,8.346365956045766,17.705160918594125,49.271544983126184,11.317803934480205
2014-05-19 00:00:00/2014-05-21 00:00:00,18.661218651285072,6.866750991702151,14.66328483540062,27.416673840917067,32.39207168069508
2014-05-21 00:00:00/2014-05-23 00:00:00,22.763329877856403,9.043584080768017,14.580610267273629,38.572136836886465,15.040338937215486
2014-05-23 00:00:00/2014-05-25 00:00:00,23.88847652625719,8.753943217665615,15.473186119873818,38.36426053071071,13.52013360549267
2014-05-25 00:00:00/2014-05-27 00:00:00,21.088961815570904,7.611641967696147,13.03286252860625,43.00683239324127,15.25970129488543
2014-05-27 00:00:00/2014-05-29 00:00:00,15.227768806232366,8.661780625011092,15.880818441553833,46.086138666572026,14.14349346063069
2014-05-29 00:00:00/2014-05-31 00:00:00,14.94575116813178,8.793854438900768,15.954700245505661,46.13605765423299,14.169636493228795
2014-05-19 00:00:00/2014-05-21 00:00:00,18.661218651285072,6.866750991702151,14.66328483540062,27.416673840917067,32.39207168069508
2014-05-20 00:00:00/2014-05-22 00:00:00,19.801159258570454,8.374403322794619,16.86891699212696,35.53251503316595,19.423005393342013
