TimeWindows,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
2014-05-21 00:00:00/2014-05-23 00:00:00,22.763329877856403,9.043584080768017,14.580610267273629,38.572136836886465,15.040338937215486
2014-05-22 00:00:00/2014-05-24 00:00:00,24.35371296767816,8.429440134200041,15.80744690411287,36.828625348231135,14.58077464577779
2014-05-23 00:00:00/2014-05-25 00:00:00,23.88847652625719,8.753943217665615,15.473186119873818,38.36426053071071,13.52013360549267
2014-05-24 00:00:00/2014-05-26 00:00:00,25.195947526044613,8.599060055370735,12.244928749783119,41.45563174689388,12.50443192190765
2014-05-25 00:00:00/2014-05-27 00:00:00,21.088961815570904,7.611641967696147,13.03286252860625,43.00683239324127,15.25970129488543
2014-05-26 00:00:00/2014-05-28 00:00:00,17.519056083225195,7.501935596436322,14.39265890974123,44.77716105252827,15.809188358068985
2014-05-27 00:00:00/2014-05-29 00:00:00,15.227768806232366,8.661780625011092,15.880818441553833,46.086138666572026,14.14349346063069
2014-05-28 00:00:00/2014-05-30 00:00:00,15.27820930201143,8.727896578275494,16.018479743877236,44.196036581247384,15.779377794588463
2014-05-29 00:00:00/2014-05-31 00:00:00,14.94575116813178,8.793854438900768,15.954700245505661,46.13605765423299,14.169636493228795
2014-05-19 00:00:00/2014-05-22 00:00:00,19.592889644123925,7.361153052815838,14.644507797744872,29.950301212527574,28.45114829278779
2014-05-20 00:00:00/2014-05-23 00:00:00,19.801159258570454,8.374403322794619,16.86891699212696,35.53251503316595,19.423005393342013
