TimeWindows,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster12,Cluster13,Cluster14,Cluster15,Cluster16,Cluster17,Cluster18,Cluster19
2014-05-19 00:00:00/2014-05-20 00:00:00,0.7751937984496123,0.85060175549724,4.307302506560492,1.839954151962115,4.723554429463396,0.9938768738877326,39.42327994449974,11.944620396344222,9.671824570928724,1.3151147709106263,2.2200102554821584,0.5067414713600579,2.9861550990860555,6.094471088589268,7.460863270292281,1.6619913733297136,0.49165987995053234,1.2713781558230024,0.5851657466895906,0.8762404608934334
2014-05-20 00:00:00/2014-05-21 00:00:00,2.203814430553258,1.1627632169782336,6.014699974003261,1.8847635478458156,9.726325242833171,1.7370548058516295,14.665705575118757,13.771181433601965,6.327842507030936,1.9958405218254436,3.7340769976130264,0.9666060076099543,5.4144116465388885,12.474889513860987,11.121877437194243,2.4732351759506535,0.9264292297875357,1.5846193841136293,0.6487367948384657,1.1651265568501405
2014-05-21 00:00:00/2014-05-22 00:00:00,1.8988769112805015,1.7071850615669117,6.391231789274277,2.2709846195480585,12.536646971268775,1.8785801271931803,9.541743719272924,17.198141716656895,8.414144603310632,1.858283343105859,4.22398628839475,1.1095575301068965,8.111948040232736,7.015921699517388,8.181859185422399,2.4265932975508546,0.981011230887195,2.2529430336926617,0.7802985882459068,1.2200622434712012
2014-05-22 00:00:00/2014-05-23 00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-05-23 00:00:00/2014-05-24 00:00:00,1.7941185287328756,1.3039959231391827,5.443808267633922,2.3292065109865403,9.189424143409575,1.588776641985671,8.85068497257112,19.138763152372672,7.082046823945562,1.9275158128241254,3.3754009412752177,0.9412752180820768,8.660331544710573,7.853952456608411,11.680506010372014,2.919751791120837,0.8933121496447735,2.958721784226146,0.7719056326628496,1.2965016936958542
2014-05-24 00:00:00/2014-05-25 00:00:00,1.4685434098504624,2.397970385187715,6.2181348035030375,2.3564998902251606,11.362915619739956,1.7344424657868418,7.796453052960262,17.390774034591274,9.199131559046666,2.3735759763862125,2.8809796794574685,1.4148757104871563,10.75549484058254,6.42060839655551,8.623423511331204,2.107676920449833,0.7708633181274852,2.6809455272851466,0.7098772961237285,1.3368136023223478
2014-05-25 00:00:00/2014-05-26 00:00:00,1.5022725286251202,1.3372956909361071,4.469670483349358,1.7131369635521372,5.3218687177694255,3.462328467791277,7.858797307927629,16.09452845031029,14.536535267896163,2.5806310637182066,2.0933484835241676,1.5787518573551262,13.802333712088105,4.200900270955336,8.7350319028057,1.9535005681321562,0.5386329866270431,4.25334323922734,1.6716196136701338,2.2954724237391835
2014-05-26 00:00:00/2014-05-27 00:00:00,1.3567454103221936,1.460700363175957,5.305700862959384,1.8505314363775698,6.008063172625196,2.345650218238763,10.893945956752074,12.00079965348349,13.388864825242395,2.0950921267450773,2.3836337587045615,1.084863225935428,11.143171292439943,4.2148402358977775,13.34888215106787,2.9427248192449937,0.5450971245793489,1.7912238030186918,3.19328291073868,2.646186652450605
2014-05-27 00:00:00/2014-05-28 00:00:00,1.8864523881045359,1.3487533793932112,6.833884049264043,1.9465304896365274,12.021628116551517,1.6551516972063682,8.125563232201863,11.306698708320816,11.694202463202162,2.1688194653048964,3.277260438570141,1.0363472514268548,8.819465304896365,4.968458996695705,13.27726043857014,2.5022529288074495,0.964253529588465,1.2586362270952238,2.337038149594473,2.57134274556924
2014-05-28 00:00:00/2014-05-29 00:00:00,1.502649179188743,2.57534960479458,6.562147138017893,2.7751237731260314,11.669417180578476,1.4288195952401632,13.892990532441587,12.794232606618603,9.706418830886824,2.2322591852688265,4.238686701989056,0.6470945887257882,3.9998262833318856,5.611048380092069,12.47285677060714,2.392947103274559,1.0205854251715452,0.9076695908972465,1.6633370971944756,1.9065404325545035
2014-05-29 00:00:00/2014-05-30 00:00:00,1.3085358915504288,2.466011417809429,6.729052635709102,2.2227453750024524,15.11388382084633,1.4144743295470152,11.643419064995195,12.027936358464286,8.906676083416711,1.953975634159261,4.780962470327428,0.6101269299433034,4.070782571165127,4.710336844996371,12.828360112216272,2.9780472014595967,1.593000215800522,1.0260333902261982,1.5164891216918763,2.0991505306731018
2014-05-30 00:00:00/2014-05-31 00:00:00,3.2122559920929086,2.8580841775801007,6.408038876534059,2.190923317683881,21.373857178156662,1.301375504488922,8.541306317436785,10.25450951321967,7.635285396590067,2.5862779013260853,4.810147434313484,1.046042335886665,3.64055679103863,4.579523927188864,10.551025450951323,2.8663207314059798,1.531999011613541,0.7742360596326497,1.1036982126678199,2.734535870191912
2014-05-19 00:00:00/2014-05-21 00:00:00,1.5762065035910213,1.0256274348713328,5.264622478997165,1.8650783134126627,7.528555905970901,1.410568997959346,25.541965918426843,12.96875414093764,7.796888665094215,1.6967906076908807,3.068931704343678,0.7645827259958128,4.347653247820211,9.671905228844778,9.513555773460897,2.1168473219728092,0.7354305250046379,1.4470092491983146,0.6208093711075187,1.0382158852993402
2014-05-21 00:00:00/2014-05-23 00:00:00,1.8988769112805015,1.7071850615669117,6.391231789274277,2.2709846195480585,12.536646971268775,1.8785801271931803,9.541743719272924,17.198141716656895,8.414144603310632,1.858283343105859,4.22398628839475,1.1095575301068965,8.111948040232736,7.015921699517388,8.181859185422399,2.4265932975508546,0.981011230887195,2.2529430336926617,0.7802985882459068,1.2200622434712012
2014-05-23 00:00:00/2014-05-25 00:00:00,1.6702100992470592,1.720344254532963,5.738503959669857,2.339593913342184,10.016618544066993,1.644214611321035,8.449461986240959,18.47350781257253,7.887773764982221,2.097278829460315,3.18723250178719,1.1215196219513326,9.457715553657472,7.308445748345108,10.51703168664296,2.6106897159992943,0.8467101781619333,2.8530047998811634,0.74829868815627,1.3118437299811532
2014-05-25 00:00:00/2014-05-27 00:00:00,1.411878655424619,1.4139482518119315,4.988969051255624,1.7984792605746027,5.748097006121866,2.768706046946724,9.74407371074493,13.551717144122552,13.823662109415421,2.279039541708576,2.2736585911015634,1.2719739396422909,12.15060038991196,4.209559051793719,11.600915589441747,2.5679551973774073,0.5426481727533496,2.7240027649807734,2.6167976721179835,2.513317852752356
2014-05-27 00:00:00/2014-05-29 00:00:00,1.729526244761702,1.8502734569216563,6.722778606435116,2.285318559556787,11.877619149087293,1.5626109808935293,10.483699126358406,11.914908729313161,10.881454648767669,2.194758150436821,3.6703601108033244,0.8771929824561404,6.848852901484481,5.231195397400383,12.948362809858654,2.457560906314369,0.9872860288372753,1.1151360181831096,2.0615810782015767,2.299524113928546
2014-05-29 00:00:00/2014-05-31 00:00:00,1.6747472826948062,2.5414329625756564,6.667300440472795,2.216623886934753,16.31809107329594,1.3927179389675823,11.04667744082137,11.68678898501125,8.66210349526254,2.075609215071141,4.7865766707861965,0.693982317710809,3.9880216750641693,4.685172861805621,12.390277909813987,2.9565548055898847,1.5812656462908388,0.9775960959533542,1.4370821053965839,2.2213771904807174
2014-05-19 00:00:00/2014-05-21 00:00:00,1.5762065035910213,1.0256274348713328,5.264622478997165,1.8650783134126627,7.528555905970901,1.410568997959346,25.541965918426843,12.96875414093764,7.796888665094215,1.6967906076908807,3.068931704343678,0.7645827259958128,4.347653247820211,9.671905228844778,9.513555773460897,2.1168473219728092,0.7354305250046379,1.4470092491983146,0.6208093711075187,1.0382158852993402
2014-05-20 00:00:00/2014-05-22 00:00:00,2.098970287203027,1.3499472737423237,6.144159791576205,2.0175547422616464,10.692574902301345,1.7857142857142858,12.90397618013771,14.949444823522114,7.045158488927486,1.9485453755970474,3.9025184541901865,1.0157558464115128,6.341883257862415,10.597977792940885,10.111035295577198,2.457198684945103,0.9451957074623162,1.8144035729793437,0.693970597357484,1.1840146392903665
2014-05-21 00:00:00/2014-05-23 00:00:00,1.8988769112805015,1.7071850615669117,6.391231789274277,2.2709846195480585,12.536646971268775,1.8785801271931803,9.541743719272924,17.198141716656895,8.414144603310632,1.858283343105859,4.22398628839475,1.1095575301068965,8.111948040232736,7.015921699517388,8.181859185422399,2.4265932975508546,0.981011230887195,2.2529430336926617,0.7802985882459068,1.2200622434712012
